,program,id,asignar,tiporeal,corcheteizq,corcheteder,constantereal,coma,llaveizq,llaveder,peek,dump,if,while,else,elif,not,or,dospuntos,parentesisizq,parentesisder,transpose,size,menos,and,potencia,dividir,multiplicacion,suma,oprelacional,cadena
programa,program id espaciovariables cuerpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
espaciovariables,,id asignar variable ev1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ev1,,espaciovariables,,,,,,,epsilon,,,,,,,,,,,,,,,,,,,,,,
variable,,,,tiporeal,corcheteizq constantereal coma constantereal corcheteder,,,,,,,,,,,,,,,,,,,,,,,,,,
cuerpo,,,,,,,,,llaveizq cuerpo2 llaveder,,,,,,,,,,,,,,,,,,,,,,
cuerpo2,,sentencia aux1,sentencia aux1,,,,,,,,sentencia aux1,sentencia aux1,sentencia aux1,sentencia aux1,,,,,,,,,,,,,,,,,
aux1,,cuerpo2,cuerpo2,,,,,,,epsilon,cuerpo2,cuerpo2,cuerpo2,cuerpo2,,,,,,,,,,,,,,,,,
sentencia,,asignacion,asignacion,,,,,,,,lectura,escritura,si,mientras,,,,,,,,,,,,,,,,,
lectura,,,,,,,,,,,peek parentesisizq cadena coma id parentesisder,,,,,,,,,,,,,,,,,,,,
escritura,,,,,,,,,,,,dump parentesisizq lista parentesisder,,,,,,,,,,,,,,,,,,,
lista,,varlista aux2,,,varlista aux2,,varlista aux2,,,,,,,,,,,,,varlista aux2,,varlista aux2,varlista aux2,varlista aux2,,,,,,,varlista aux2
aux2,,,,,,,,como lista,,,,,,,,,,,,,epsilon,,,,,,,,,,
varlista,,exparit,,,exparit,,exparit,,,,, ,,,,,,,,exparit,,exparit,exparit,exparit,,,,,,,cadena
mientras,,,,,,,,,,,,,,while condicion dospuntos cuerpo,,,,,,,,,,,,,,,,,
asignacion,,id aux3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aux3,,epsilon,asignar exparit,,corcheteizq exparit coma exparit corcheteder asignar exparit,,,,,,,,,,,,,,,,,,,,,,,,,exparit,
exparit,,ear1 sub1,,,ear1 sub1,,ear1 sub1,,ear1 sub1,,,,,,,,,,,ear1 sub1,,ear1 sub1,ear1 sub1,ear1 sub1,,,,,,,
sub1,,epsilon,,,,epsilon,,epsilon,,epsilon,epsilon,epsilon,epsilon,epsilon,,,,epsilon,epsilon,,epsilon,,,menos exparit,epsilon,,,,suma exparit,epsilon,
ear1,,ear2 sub2,,,ear2 sub2,,ear2 sub2,,ear2 sub2,,,,,,,,,,,ear2 sub2,,ear2 sub2,ear2 sub2,ear2 sub2,,,,,,,
sub2,,epsilon,epsilon,,,epsilon,,epsilon,,epsilon,epsilon,epsilon,epsilon,epsilon,,,,epsilon,epsilon,,epsilon,,,epsilon,epsilon,,dividir ear1,multiplicacion ear1,epsilon,epsilon,
ear2,,ear3 sub3,,,ear3 sub3,,ear3 sub3,,ear3 sub3,,,,,,,,,,,ear3 sub3,,ear3 sub3,ear3 sub3,ear3 sub3,,,,,,,
sub3,,epsilon,epsilon,,,epsilon,,epsilon,,epsilon,epsilon,epsilon,epsilon,epsilon,,,,epsilon,epsilon,,epsilon,,,epsilon,epsilon,potencia ear2,epsilon,epsilon,epsilon,epsilon,
ear3,,id ear4,,,constantematriz,,constantereal,,constantereal,,,,,,,,,,,parentesisizq exparit parentesisder,,transpose parentesisizq exparit parentesisder,size parentesisizq exparit coma constantereal parentesisder,menos ear3,,,,,,,
filas,,,,,corcheteizq listanumeros corcheteder aux4,,,,,,,,,,,,,,,,,,,,,,,,,,
aux4,,,,,,epsilon,,coma filas,,,,,,,,,,,,,,,,,,,,,,,
listanumeros,,,,,,,constantereal aux5,,,,,,,,,,,,,,,,,,,,,,,,
aux5,,,,,,epsilon,coma listanumeros,coma listanumeros,,,,,,,,,,,,,,,,,,,,,,,
si,,,,,,,,,,,,,if condicion dospuntos cuerpo sii,,,,,,,,,,,,,,,,,,
sii,,epsilon ,epsilon,,,,,,,epsilon,epsilon,epsilon,epsilon,epsilon,else dospuntos cuerpo,elif condicion dospuntos cuerpo sii,,,,,,,,,,,,,,,
condicion,,cond1 aux6,,,cond1 aux6,,cond1 aux6,,cond1 aux6,,,,,,,,cond1 aux6,,,cond1 aux6,,cond1 aux6,cond1 aux6,,cond1 aux6,,,,,,
aux6,,,,,,,,,,epsilon,,,,,,,,or condicion,epsilon,,,,,,,,,,,,
cond1,,cond2 aux7,,,cond2 aux7,,cond2 aux7,,cond2 aux7,,,,,,,,cond2 aux7,,,cond2 aux7,,cond2 aux7,cond2 aux7,,cond2 aux7,,,,,,
aux7,,,,,,,,,,epsilon,,,,,,,,epsilon,epsilon,,,,,,and cond1,,,,,,and cond1
cond2,,exparit oprelacional exparit,,,exparit oprelacional exparit,,exparit oprelacional exparit,,llaveizq condicion llaveder,,,,,,,,not cond2,,,exparit oprelacional exparit,,exparit oprelacional exparit,exparit oprelacional exparit,,exparit oprelacional exparit,,,,,,
constantematriz,,,,,corcheteizq filas corcheteder,,,,,,,,,,,,,,,,,,,,,,,,,,
ear4,,epsilon,epsilon,,corcheteizq exparit coma exparit corcheteder,,,epsilon,,epsilon,epsilon,epsilon,epsilon,epsilon,,,,,,,epsilon,,,epsilon,,epsilon,epsilon,epsilon,epsilon,epsilon,