,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Program,id,=,TipoReal,[,],constanteReal,",",{,},peek,dump,if,While,",",else,elif,not,or,:,(,Transpose,Size,-,and,^,/,*,+,cadena
Programa,Program id EspacioVariables Cuerpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EspacioVariables,,id = Variable EV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV1,,EspacioVariables,,,,,,,epsilon,,,,,,,,,,,,,,,,,,,,,
Variable,,,,TipoReal,"[ constanteReal , constanteReal ]",,,,,,,,,,,,,,,,,,,,,,,,,
Cuerpo,,,,,,,,,Cuerpo2,,,,,,,,,,,,,,,,,,,,,
Cuerpo2,,Sentencia aux1,Sentencia aux1,,,,,,,,Sentencia aux1,Sentencia aux1,Sentencia aux1,Sentencia aux1,,,,,,,,,,,,,,,,
aux1,,Cuerpo2,Cuerpo2,,,,,,,epsilon,Cuerpo2,Cuerpo2,Cuerpo2,Cuerpo2,,,,,,,,,,,,,,,,
Sentencia,,Asignacion,Asignacion,,,,,,,,Lectura,Escritura,Si,Mientras,,,,,,,,,,,,,,,,
Lectura,,,,,,,,,,,"peek ( cadena , id )",,,,,,,,,,,,,,,,,,,
Escritura,,,,,,,,,,,,dump ( Lista ),,,,,,,,,,,,,,,,,,
Lista,,,,,VarLista aux2,,VarLista aux2,,,,,,,,,,,,,,VarLista aux2,VarLista aux2,VarLista aux2,VarLista aux2,,,,,,VarLista aux2
aux2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VarLista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mientras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asignacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aux3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExpArit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sub3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR3,,,,,constanteMatriz,,constanteReal,,,,,,,,,,,,,,,,,-EAR3,,,,,,
Filas,,,,,[listaNumeros] aux4,,,,,,,,,,,,,,,,,,,,,,,,,
aux4,,,,,,epsilon,,,,,,,,,", Filas",,,,,,,,,,,,,,,
listaNumeros,,,,,,,"ConstanteReal , aux5",,,,,,,,,,,,,,,,,,,,,,,
aux5,,,,,,epsilon,,,,,,,,,", listaNumeros",,,,,,,,,,,,,,,
Si,,,,,,,,,,,,,If Condicion : Cuerpo Sii,,,,,,,,,,,,,,,,,
Sii,,epsilon ,epsilon,,,,,,,,epsilon,epsilon,epsilon,epsilon,,else: Cuerpo,elif Condicion : Cuerpo Sii,,,,,,,,,,,,,
Condicion,,,,,COND1 aux6,,COND1 aux6,,COND1 aux6,,,,,,,,,COND1 aux6,,,COND1 aux6,COND1 aux6,COND1 aux6,,COND1 aux6,,,,,
aux6,,,,,,,,,,,,,,,,,,,or Condicion,epsilon,,,,,,,,,,
COND1,,,,,COND2 aux7,,COND2 aux7,,COND2 aux7,,,,,,,,,COND2 aux7,,,COND2 aux7,COND2 aux7,COND2 aux7,,COND2 aux7,,,,,
aux7,,,,,,,,,,,,,,,,,,,,epsilon,,,,,,,,,,and COND1
COND2,,,,,ExpArit opRelacional ExpArit,,ExpArit opRelacional ExpArit,,{ Condicion },,,,,,,,,not COND2,,,,,,,,,,,,
constanteMatriz,,,,,[ Filas ],,,,,,,,,,,,,,,,ExpArit opRelacional ExpArit,ExpArit opRelacional ExpArit,ExpArit opRelacional ExpArit,,ExpArit opRelacional ExpArit,,,,,
EAR4,,epsilon,epsilon,,"[ ExpArit , ExpArit ]",,,,,,epsilon,epsilon,epsilon,epsilon,,,,,,,,,,epsilon,,epsilon,epsilon,epsilon,epsilon,